"","id","state","date","tavg","tmax","tmin","prcp"
"1","USR0000AKIL","AK",2020-01-01,-260,-250,-278,NA
"2","USR0000AKIL","AK",2020-01-02,-247,-206,-278,NA
"3","USR0000AKIL","AK",2020-01-03,-185,-161,-200,NA
"4","USR0000AKIL","AK",2020-01-04,-201,-172,-217,NA
"5","USR0000AKIL","AK",2020-01-05,-217,-194,-228,NA
"6","USR0000AKIL","AK",2020-01-06,-204,-178,-217,NA
"7","USR0000AKIL","AK",2020-01-07,-202,-178,-217,NA
"8","USR0000AKIL","AK",2020-01-08,-170,-150,-194,NA
"9","USR0000AKIL","AK",2020-01-09,-123,-89,-150,NA
"10","USR0000AKIL","AK",2020-01-10,-97,-78,-111,NA
"11","USR0000AKIL","AK",2020-01-11,-63,-50,-78,NA
"12","USR0000AKIL","AK",2020-01-12,-52,-33,-72,NA
"13","USR0000AKIL","AK",2020-01-13,-57,-50,-106,NA
"14","USR0000AKIL","AK",2020-01-14,-96,-72,-117,NA
"15","USR0000AKIL","AK",2020-01-15,-99,-78,-128,NA
"16","USR0000AKIL","AK",2020-01-16,-127,-100,-150,NA
"17","USR0000AKIL","AK",2020-01-17,-119,-100,-139,NA
"18","USR0000AKIL","AK",2020-01-18,-91,-72,-106,NA
"19","USR0000AKIL","AK",2020-01-19,-93,-78,-106,NA
"20","USR0000AKIL","AK",2020-01-20,-106,-67,-133,NA
"21","USR0000AKIL","AK",2020-01-21,-111,-100,-122,NA
"22","USR0000AKIL","AK",2020-01-22,-135,-117,-156,NA
"23","USR0000AKIL","AK",2020-01-23,-192,-161,-211,NA
"24","USR0000AKIL","AK",2020-01-24,-221,-206,-244,NA
"25","USR0000AKIL","AK",2020-01-25,-230,-211,-272,NA
"26","USR0000AKIL","AK",2020-01-26,-282,-267,-294,NA
"27","USR0000AKIL","AK",2020-01-27,-297,-272,-306,NA
"28","USR0000AKIL","AK",2020-01-28,-315,-306,-322,NA
"29","USR0000AKIL","AK",2020-01-29,-317,-289,-344,NA
"30","USR0000AKIL","AK",2020-01-30,-288,-272,-306,NA
"31","USR0000AKIL","AK",2020-01-31,-268,-222,-306,NA
"32","USR0000AKIL","AK",2020-02-01,-151,-106,-217,NA
"33","USR0000AKIL","AK",2020-02-02,-62,-22,-100,NA
"34","USR0000AKIL","AK",2020-02-03,-25,-17,-39,NA
"35","USR0000AKIL","AK",2020-02-04,-26,-17,-39,NA
"36","USR0000AKIL","AK",2020-02-05,-30,-22,-44,NA
"37","USR0000AKIL","AK",2020-02-06,-68,-61,-78,NA
"38","USR0000AKIL","AK",2020-02-07,-74,-39,-106,NA
"39","USR0000AKIL","AK",2020-02-08,-57,-17,-200,NA
"40","USR0000AKIL","AK",2020-02-09,-199,-167,-244,NA
"41","USR0000AKIL","AK",2020-02-10,-176,-156,-206,NA
"42","USR0000AKIL","AK",2020-02-11,-134,-106,-156,NA
"43","USR0000AKIL","AK",2020-02-12,-146,-100,-178,NA
"44","USR0000AKIL","AK",2020-02-13,-128,-111,-161,NA
"45","USR0000AKIL","AK",2020-02-14,-81,-44,-122,NA
"46","USR0000AKIL","AK",2020-02-15,-48,-39,-56,NA
"47","USR0000AKIL","AK",2020-02-16,-52,-28,-72,NA
"48","USR0000AKIL","AK",2020-02-17,-28,-11,-44,NA
"49","USR0000AKIL","AK",2020-02-18,-51,-39,-89,NA
"50","USR0000AKIL","AK",2020-02-19,-102,-89,-111,NA
"51","USR0000AKIL","AK",2020-02-20,NA,NA,NA,NA
"52","USR0000AKIL","AK",2020-02-21,-236,-217,-272,NA
"53","USR0000AKIL","AK",2020-02-22,-203,-133,-267,NA
"54","USR0000AKIL","AK",2020-02-23,-131,-44,-178,NA
"55","USR0000AKIL","AK",2020-02-24,-121,-100,-133,NA
"56","USR0000AKIL","AK",2020-02-25,-131,-117,-144,NA
"57","USR0000AKIL","AK",2020-02-26,-131,-106,-161,NA
"58","USR0000AKIL","AK",2020-02-27,-99,-56,-128,NA
"59","USR0000AKIL","AK",2020-02-28,-91,-33,-122,NA
"60","USR0000AKIL","AK",2020-02-29,-85,-39,-122,NA
"61","USR0000AKIL","AK",2020-03-01,-93,-28,-183,NA
"62","USR0000AKIL","AK",2020-03-02,-215,-183,-244,NA
"63","USR0000AKIL","AK",2020-03-03,-244,-217,-261,NA
"64","USR0000AKIL","AK",2020-03-04,-192,-128,-233,NA
"65","USR0000AKIL","AK",2020-03-05,-153,-106,-200,NA
"66","USR0000AKIL","AK",2020-03-06,-104,-72,-139,NA
"67","USR0000AKIL","AK",2020-03-07,-69,-33,-83,NA
"68","USR0000AKIL","AK",2020-03-08,-74,-6,-128,NA
"69","USR0000AKIL","AK",2020-03-09,-174,-133,-217,NA
"70","USR0000AKIL","AK",2020-03-10,-192,-161,-217,NA
